activity_type,pressure_cat,biotic_group,service_division,service_section,n_services,RCSES
Agriculture & Forestry,Biological disturbance,Zooplankton,Biomass,Provisioning,18,6.616968488194366e-9
Agriculture & Forestry,Biological disturbance,Zooplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.6105954467174506e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,Biomass,Provisioning,18,3.4822461653034405e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.900112139150418e-5
Agriculture & Forestry,Physical change,Zooplankton,Biomass,Provisioning,18,1.99993796372136e-8
Agriculture & Forestry,Physical change,Zooplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.0912802317878597e-6
Agriculture & Forestry,Biological disturbance,Zooplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.907809476962282e-7
Agriculture & Forestry,Biological disturbance,Zooplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.641760026972164e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.161564208176601e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.3902527630271394e-5
Agriculture & Forestry,Physical change,Zooplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.3900867007405137e-6
Agriculture & Forestry,Physical change,Zooplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.984556943877653e-7
Agriculture & Forestry,Biological disturbance,Zooplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.92143094329522e-7
Agriculture & Forestry,Biological disturbance,Zooplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.799334060282411e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.1162125423731084e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Zooplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.473177681624679e-4
Agriculture & Forestry,Physical change,Zooplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.7897160254245166e-6
Agriculture & Forestry,Physical change,Zooplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.460814752685583e-6
Agriculture & Forestry,Biological disturbance,Phytoplankton,Biomass,Provisioning,18,1.4949685220935413e-6
Agriculture & Forestry,Biological disturbance,Phytoplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.638323427198693e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,Biomass,Provisioning,18,7.867422087013979e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.546004515917219e-4
Agriculture & Forestry,Physical change,Phytoplankton,Biomass,Provisioning,18,4.518450265008221e-6
Agriculture & Forestry,Physical change,Phytoplankton,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.610880042088967e-5
Agriculture & Forestry,Biological disturbance,Phytoplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.4513663055613615e-5
Agriculture & Forestry,Biological disturbance,Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.573055935381354e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.637961040631777e-4
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.8803565940498612e-4
Agriculture & Forestry,Physical change,Phytoplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.386665251522534e-5
Agriculture & Forestry,Physical change,Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0799341457373437e-5
Agriculture & Forestry,Biological disturbance,Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.3434508917236366e-7
Agriculture & Forestry,Biological disturbance,Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.4605221184082142e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.233264582692366e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,7.686144425867891e-5
Agriculture & Forestry,Physical change,Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.082935959022065e-7
Agriculture & Forestry,Physical change,Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.414338131835956e-6
Agriculture & Forestry,Biological disturbance,Microphytobenthos,Biomass,Provisioning,18,6.928015512846344e-8
Agriculture & Forestry,Biological disturbance,Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.0031905571368225e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,Biomass,Provisioning,18,3.5552731278071408e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.0543308234355424e-4
Agriculture & Forestry,Physical change,Microphytobenthos,Biomass,Provisioning,18,2.0852509518219363e-7
Agriculture & Forestry,Physical change,Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.2049131391399772e-5
Agriculture & Forestry,Biological disturbance,Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.784067420408501e-6
Agriculture & Forestry,Biological disturbance,Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.6558333224250214e-7
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.4287092844160058e-4
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.497295804880023e-6
Agriculture & Forestry,Physical change,Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.379714548240258e-6
Agriculture & Forestry,Physical change,Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.983862991130451e-7
Agriculture & Forestry,Biological disturbance,Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.7078713243734596e-7
Agriculture & Forestry,Biological disturbance,Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.3795420981680465e-6
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.3896074763766217e-5
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.2474644152925552e-4
Agriculture & Forestry,Physical change,Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.150373286680484e-7
Agriculture & Forestry,Physical change,Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.3181905138369324e-5
Agriculture & Forestry,Biological disturbance,Marine mammals,Biomass,Provisioning,18,4.222918768323054e-11
Agriculture & Forestry,Biological disturbance,Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.565088854526097e-8
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,Biomass,Provisioning,18,9.619562545702321e-10
Agriculture & Forestry,"Chemical changes, chemicals and other pollutants",Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.4954889335767527e-6
Agriculture & Forestry,Physical change,Marine mammals,Biomass,Provisioning,18,1.3376611445055867e-11
Agriculture & Forestry,Physical change,Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.079572152038714e-8
